"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.709592917E-1,6.592735648E-5,4.221865118E-2,-1.734463234E-2,4.564268971E-2
8.810132917E-1,-2.636889607E-2,4.260515213E-2,-3.881323278E-2,6.337968686E-2
8.910682917E-1,-4.860673428E-2,1.227915287E-3,-5.085498869E-2,7.035873981E-2
9.011232917E-1,-4.267502636E-2,-6.069760680E-2,-4.620294392E-2,8.740749037E-2
9.111782917E-1,-4.407484978E-2,-5.657181144E-2,-7.113956451E-2,1.010138598E-1
9.212332917E-1,-7.049066976E-2,-1.869471788E-2,-8.380810540E-2,1.110955694E-1
9.312882917E-1,-9.303183228E-2,-2.482727766E-3,-9.402205825E-2,1.322922265E-1
9.413432917E-1,-1.024208526E-1,6.294527650E-3,-7.546537120E-2,1.273761139E-1
9.513982917E-1,-8.379250064E-2,9.991137385E-3,-6.586066168E-2,1.070450034E-1
9.614532917E-1,-1.118196671E-1,1.493086517E-2,-5.516259592E-2,1.255765928E-1
9.715072917E-1,-1.311230801E-1,4.962122619E-2,-7.969206758E-3,1.404244868E-1
9.815622917E-1,-7.954712972E-2,4.761387706E-2,1.407304209E-2,9.377034525E-2
9.916172917E-1,-3.285945162E-2,9.883548617E-3,6.610039752E-2,7.447610789E-2
1.001672292E0,-3.829063788E-2,6.917256117E-4,8.710651975E-2,9.515354548E-2
1.011727292E0,-4.163787648E-2,-4.531007409E-3,9.802268665E-2,1.065959187E-1
1.021782292E0,-2.707407027E-3,-3.765606880E-2,1.206999431E-1,1.264665404E-1
1.031837292E0,3.129283637E-3,-9.104699492E-3,1.141832213E-1,1.145883763E-1
1.041892292E0,9.150161594E-3,4.884939373E-2,6.692258913E-2,8.335839286E-2
1.051947292E0,4.818631947E-2,1.599096537E-2,6.752013803E-2,8.447840787E-2
1.062001292E0,9.960161760E-2,-1.977177501E-2,7.360471409E-2,1.254155463E-1
1.072056292E0,1.177102983E-1,-3.404190481E-2,6.203778863E-2,1.373435576E-1
1.082111292E0,1.131654038E-1,-3.743036628E-2,4.864470463E-2,1.287390703E-1
1.092166292E0,9.124872386E-2,-4.057090580E-2,3.030377984E-2,1.043582631E-1
1.102221292E0,7.804541856E-2,-5.737872720E-2,4.157370329E-3,9.695715250E-2
1.112276292E0,3.915427163E-2,-4.162048101E-2,-5.695224591E-3,5.742610043E-2
1.122331292E0,7.809687406E-3,-4.414940178E-2,-1.960984368E-2,4.893574220E-2
1.132386292E0,8.931768090E-3,-3.082125843E-2,-1.300424416E-2,3.462422300E-2
1.142441292E0,4.055380270E-2,-4.742091894E-3,-1.644942362E-2,4.401910819E-2
1.152495292E0,1.766867772E-2,4.814246535E-2,-1.166874010E-2,5.259314250E-2
1.162550292E0,-1.665652469E-2,5.555088758E-2,-1.703915186E-3,5.801934378E-2
1.172605292E0,-2.812189132E-2,2.626569271E-2,1.502149701E-3,3.850952919E-2
1.182660208E0,-3.096056834E-2,5.493517578E-2,4.725098424E-3,6.323572475E-2
1.192715208E0,-7.204982981E-2,6.612089932E-2,-1.234968491E-3,9.779916385E-2
1.202770208E0,-9.135353521E-2,1.729781806E-2,-1.396435697E-2,9.401960524E-2
1.212825208E0,-6.566905573E-2,-4.206720829E-2,3.022645041E-4,7.798824436E-2
1.222880208E0,-5.111650541E-2,-5.452528596E-2,8.618905507E-3,7.523423069E-2
1.232935208E0,-3.004884124E-2,-5.616952300E-2,-2.300294638E-2,6.772801279E-2
1.242990208E0,2.439209864E-2,-6.574843168E-2,-2.914131682E-2,7.594107644E-2
1.253044208E0,5.025608763E-2,-8.050388038E-2,-2.434258003E-2,9.797504939E-2
1.263099208E0,1.647438392E-2,-9.006466269E-2,-3.431551795E-2,9.777833893E-2
1.273154208E0,9.713102281E-3,-6.471464396E-2,-7.595357716E-2,1.002560491E-1
1.283209208E0,4.549426138E-3,-1.439175189E-2,-8.889931262E-2,9.017154531E-2
1.293264208E0,-3.278855413E-2,3.539904356E-3,-1.185411876E-1,1.230432175E-1
1.303319208E0,-5.496908963E-2,-2.741291642E-2,-1.087558722E-1,1.249035970E-1
1.313374208E0,-8.188353091E-2,-5.233842731E-3,-8.128448367E-2,1.154966364E-1
1.323429208E0,-1.126672210E-1,2.531844378E-3,-5.634673018E-2,1.259970909E-1
1.333484208E0,-8.323745370E-2,2.277373552E-2,-1.778255224E-2,8.810979453E-2
1.343538208E0,-3.330866396E-2,4.726655245E-2,-1.088576138E-2,5.883956047E-2
1.353593208E0,-6.439918667E-2,9.010793209E-2,5.345561095E-3,1.108840371E-1
1.363648208E0,-6.092301697E-2,1.258847058E-1,3.884341903E-3,1.399059014E-1
1.373703208E0,-5.825157031E-2,8.616749346E-2,4.863476437E-2,1.148190867E-1
1.383758208E0,-5.016750231E-2,7.789602220E-2,5.551225942E-2,1.080100898E-1
1.393813208E0,-1.326724461E-1,1.546915984E-1,7.687802196E-2,2.178111540E-1
1.403868208E0,-2.067101830E-1,1.730822611E-1,1.390947719E-1,3.033709354E-1
1.413923208E0,-2.291805942E-1,5.738282025E-2,2.171006487E-1,3.208570157E-1
1.423978208E0,-1.832879913E-1,5.463638306E-3,2.589755201E-1,3.173210663E-1
1.434032208E0,-1.529200383E-1,-3.274206877E-2,2.710996852E-1,3.129722360E-1
1.444087208E0,-1.033945602E-1,-6.097710371E-2,2.649484509E-1,2.908716623E-1
1.454142208E0,-8.780091316E-2,-4.736946344E-2,2.389371121E-1,2.589281946E-1
1.464197208E0,-1.361734664E-1,-6.695997477E-2,2.100273085E-1,2.591106356E-1
1.474252208E0,-1.579313944E-1,-1.694523096E-2,1.680770079E-1,2.312560200E-1
1.484307208E0,-1.304719926E-1,4.450081944E-2,1.291726317E-1,1.889148818E-1
1.494362208E0,-1.121814635E-1,4.904936850E-2,1.166846967E-1,1.691326100E-1
1.504417208E0,-7.302792281E-2,4.381903410E-3,7.776329041E-2,1.067680098E-1
1.514472208E0,-2.207923248E-2,-2.193407536E-2,9.817939203E-2,1.029941221E-1
1.524527208E0,9.086865485E-3,-3.740756214E-2,1.204970813E-1,1.264968119E-1
1.534581208E0,3.129999921E-2,-2.080673218E-2,1.414108540E-1,1.463203325E-1
1.544636208E0,6.944562614E-2,-1.649148703E-2,1.655720973E-1,1.803019233E-1
1.554691208E0,7.228634968E-2,-2.535878956E-2,2.108201544E-1,2.243067588E-1
1.564746208E0,7.587332413E-2,-3.276545763E-2,1.935720376E-1,2.104767690E-1
1.574801208E0,1.108336803E-1,-3.844836652E-2,1.708748641E-1,2.072693918E-1
1.584856208E0,8.016240299E-2,-6.512628794E-3,1.031418874E-1,1.307924850E-1
1.594911208E0,2.908799753E-2,-2.260065794E-2,3.768117528E-2,5.269508810E-2
1.604966208E0,1.936963275E-2,-2.835022509E-2,2.680067640E-2,4.355679271E-2
1.615021208E0,8.951356262E-3,-4.103575945E-3,2.958654575E-3,1.028201106E-2
1.625075208E0,-1.652598560E-2,-8.193703294E-3,-3.755206145E-2,4.183780937E-2
1.635130208E0,-4.529516369E-2,-1.437537968E-2,-9.512542784E-2,1.063350855E-1
1.645185208E0,-9.444086507E-2,6.416734457E-3,-8.899933655E-2,1.299274158E-1
1.655240208E0,-1.094686478E-1,-6.207988858E-3,-1.073694974E-1,1.534605257E-1
1.665295208E0,-4.570081428E-2,-3.096217632E-2,-1.032554330E-1,1.170850342E-1
1.675350208E0,-1.613904610E-2,-2.629726768E-2,-4.581991475E-2,5.524019989E-2
1.685405208E0,1.518448815E-2,2.275911748E-2,-3.912481628E-3,2.763790190E-2
1.695460208E0,4.393217772E-2,4.733262599E-2,3.567678630E-2,7.377836270E-2
1.705515208E0,8.030317470E-2,2.916591167E-2,8.426126461E-2,1.199967124E-1
1.715570208E0,1.778284460E-1,1.017766356E-2,7.858891726E-2,1.946863091E-1
1.725624208E0,2.304669817E-1,-6.268215179E-4,7.573543947E-2,2.425928262E-1
1.735679208E0,3.006309383E-1,-7.032563210E-2,8.102256496E-2,3.192010520E-1
1.745734208E0,3.206839643E-1,-1.027437651E-1,5.876097243E-2,3.418293992E-1
1.755789208E0,2.870323612E-1,-6.907374322E-2,2.815321047E-2,2.965659482E-1
1.765844208E0,2.237140323E-1,-1.681425333E-2,8.845704384E-3,2.245193396E-1
1.775899208E0,1.694311135E-1,-1.560037136E-3,4.414099641E-3,1.694957822E-1
1.785954208E0,1.755380917E-1,2.441855729E-2,-3.478800952E-2,1.806103352E-1
1.796009208E0,2.467150784E-1,-2.079386830E-2,-6.492982149E-2,2.559620999E-1
1.806064208E0,2.964446242E-1,-5.522578239E-2,-7.989047091E-2,3.119483765E-1
1.816119208E0,2.951272465E-1,-2.372449279E-2,-8.182129461E-2,3.071769318E-1
1.826173208E0,2.425270101E-1,3.959734440E-3,-5.374292850E-2,2.484418091E-1
1.836228208E0,1.679830505E-1,7.107875347E-3,-8.546820302E-2,1.886097582E-1
1.846283208E0,1.296763328E-1,5.255360484E-2,-8.221769929E-2,1.622885786E-1
1.856338208E0,8.753164887E-2,6.027485311E-2,-9.083474100E-2,1.398062861E-1
1.866393208E0,-3.480467409E-2,9.583995759E-2,-6.147060871E-2,1.190600628E-1
1.876448208E0,-5.842055485E-2,1.071227449E-1,-1.535065871E-2,1.229792114E-1
1.886503208E0,-5.568361938E-2,1.014070916E-1,7.976128399E-2,1.405201983E-1
1.896558208E0,-1.739751309E-2,5.829615533E-2,5.977783978E-2,8.529071061E-2
1.906613208E0,-1.489709750E-2,3.989906073E-2,4.697422821E-2,6.340691348E-2
1.916667208E0,5.628968328E-3,9.585340619E-3,2.209310135E-2,2.473194627E-2
1.926722208E0,6.324991643E-2,-2.871216774E-2,-3.847234011E-2,7.940441712E-2
1.936777208E0,5.989697680E-2,-3.265085220E-2,-6.653427919E-2,9.529184796E-2
1.946832208E0,-2.619801119E-2,-2.692350447E-2,-7.126822153E-2,8.056283438E-2
