"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.479908625E0,1.473811755E0,-1.193141311E0,6.466450408E-2,1.897337286E0
1.489898625E0,2.415147402E0,-2.649212614E0,1.067689884E-1,3.586455641E0
1.499887625E0,3.321983306E0,-4.148041096E0,-1.088231152E-1,5.315417246E0
1.509877625E0,3.913318657E0,-5.357159339E0,-4.916425167E-1,6.652438009E0
1.519866625E0,3.938075768E0,-5.056472121E0,-6.533094779E-1,6.442294960E0
1.529856625E0,2.020062150E0,-2.091579444E0,-1.026929090E0,3.083818901E0
1.539845625E0,-1.826276067E0,8.988544554E-2,-8.423545647E-1,2.013187741E0
1.549835625E0,-5.258775843E0,1.047467873E0,-6.299731672E-1,5.398960872E0
1.559824625E0,-5.118941435E0,2.410419343E0,-6.056756473E-1,5.690388898E0
1.569814625E0,-4.192749492E0,3.526268649E0,-5.561522157E-1,5.506634560E0
1.579803625E0,-3.220813612E0,3.675631388E0,-7.162308539E-1,4.939321113E0
1.589792625E0,-2.390043551E0,2.890620759E0,-4.927933949E-1,3.782967338E0
1.599782625E0,-1.784673128E0,1.923999998E0,-7.872141516E-1,2.739806615E0
1.609771625E0,-1.079229949E0,1.200366423E0,-9.767352748E-1,1.886697810E0
1.619761625E0,-8.769665730E-1,4.653003716E-1,-1.023914704E0,1.426175349E0
1.629750625E0,-1.040261765E0,3.907723457E-2,-1.012874576E0,1.452441557E0
1.639740625E0,-8.200807661E-1,-9.647613466E-3,-9.915405710E-1,1.286770470E0
1.649729625E0,-2.806985110E-1,-2.441130674E-1,-1.172910676E0,1.230488641E0
1.659719625E0,4.984774733E-1,-5.991510317E-1,-1.116103660E0,1.361304202E0
1.669708625E0,1.288295975E0,-6.415278500E-1,-8.050072289E-1,1.649030363E0
1.679698625E0,1.449385597E0,-8.157894945E-1,-5.689149334E-1,1.757809804E0
1.689687625E0,1.723332328E0,-1.078540562E0,-1.071035953E-1,2.035827899E0
1.699677625E0,1.686498962E0,-2.902177781E-1,4.564301455E-1,1.771110834E0
1.709666625E0,1.184343590E0,2.478754583E-1,2.909668064E-1,1.244497354E0
1.719656625E0,3.881112778E-1,1.700484332E-1,-4.236642493E-1,5.991979888E-1
1.729645625E0,-1.954022527E-1,4.429844731E-1,5.236649394E-2,4.869902807E-1
1.739635625E0,-1.224728554E-1,5.131519380E-1,4.026287448E-1,6.636523322E-1
1.749624625E0,5.612227750E-1,-1.084944432E0,3.701386911E-1,1.276353429E0
1.759614625E0,2.672298006E0,-2.175085578E0,4.982032388E-1,3.481433666E0
1.769603625E0,4.317551293E0,-8.251889668E-1,1.319559867E0,4.589490630E0
1.779593625E0,4.593582557E0,-2.307252532E0,6.160316509E-1,5.177249265E0
1.789582625E0,4.022091486E0,-2.650470057E0,1.320305972E0,4.994538949E0
1.799571625E0,3.418247187E0,-2.795843241E0,1.701133958E0,4.732336632E0
1.809561625E0,2.544459745E0,-3.124836245E0,1.593778494E0,4.333475146E0
1.819550625E0,2.358578514E0,-1.895530928E0,1.564435266E0,3.406374584E0
1.829540625E0,1.726227869E0,-5.448125643E-1,1.525919217E0,2.367511952E0
1.839529625E0,-2.259171170E-1,7.607521386E-1,6.991672900E-1,1.057647039E0
1.849519625E0,-1.371484897E0,2.787004005E0,1.178945952E0,3.322390059E0
1.859508625E0,-1.576832678E0,4.490397619E0,1.420918281E0,4.966797845E0
1.869498625E0,-2.159103091E0,6.491293473E0,1.896827548E0,7.099054293E0
1.879487625E0,-2.551776366E0,6.043480954E0,1.565030074E0,6.744222994E0
1.889477625E0,-2.271246255E0,5.299572451E0,1.186984047E0,5.886676383E0
1.899466625E0,-1.260453873E0,5.751787924E0,1.063702083E0,5.983583408E0
1.909456625E0,-1.065902975E0,5.579313773E0,1.174699631E0,5.800414688E0
1.919445625E0,-1.733615241E0,4.923318157E0,1.924425091E0,5.563083265E0
1.929435625E0,-2.372646915E0,3.732140926E0,1.331789319E0,4.618656955E0
1.939424625E0,-2.092512660E0,2.752619453E0,1.284763087E0,3.688650061E0
1.949414625E0,-1.758292245E0,1.652660540E0,1.364135531E0,2.771956751E0
1.959403625E0,-1.849654990E0,-2.050755939E-1,1.219409342E0,2.224913195E0
1.969393625E0,-2.202303489E0,-1.841871615E0,-6.992465928E-2,2.871849781E0
1.979382625E0,-9.388324535E-1,-1.744565322E0,8.386462605E-1,2.151334955E0
1.989372625E0,1.347631180E0,-1.381874229E0,2.097112665E0,2.850187312E0
1.999361625E0,2.497213073E0,-1.589991545E0,2.529591445E0,3.893967017E0
2.009350625E0,2.159546310E0,-1.886710842E0,3.344465851E0,4.405538547E0
2.019340625E0,1.428066064E0,-2.532677313E0,2.609239293E0,3.906655442E0
2.029329625E0,5.752829897E-1,-3.283639897E0,1.986119063E0,3.880452348E0
2.039319625E0,-1.693084681E-1,-3.408095836E0,2.051785926E0,3.981658960E0
2.049308625E0,7.245343387E-1,-3.285517731E0,2.144241515E0,3.989655178E0
2.059298625E0,2.351639623E0,-3.469543641E0,2.375253311E0,4.817651947E0
2.069287625E0,3.021755680E0,-4.209610523E0,2.097723699E0,5.590373231E0
2.079277625E0,2.531216387E0,-4.442113359E0,2.498792991E0,5.690640904E0
2.089266625E0,1.854398836E0,-4.019612559E0,2.785130849E0,5.230012812E0
