"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.585800667E0,-3.907663157E-2,1.986474574E-1,-6.929506034E-2,2.139850482E-1
1.595855667E0,-3.949237774E-2,2.133023340E-1,-1.146640451E-1,2.453678398E-1
1.605910667E0,-2.804557602E-2,1.806549901E-1,-1.316104455E-1,2.252644871E-1
1.615965667E0,-6.008830866E-2,1.054586273E-1,-1.690017816E-1,2.080714520E-1
1.626021667E0,-2.975033174E-2,6.098061204E-3,-1.647764374E-1,1.675516127E-1
1.636076667E0,6.096608536E-3,1.519691348E-3,-1.623207530E-1,1.624423127E-1
1.646131667E0,-6.423457841E-2,-5.385928810E-2,-1.271900967E-1,1.523293296E-1
1.656186667E0,-8.224868953E-2,-6.789552927E-2,-1.443619072E-1,1.794854036E-1
1.666241667E0,-8.698053966E-2,1.551149368E-2,-2.132902010E-1,2.308656114E-1
1.676296667E0,-1.124065722E-1,5.083043039E-2,-2.212595174E-1,2.533273459E-1
1.686351667E0,-1.837966990E-1,-4.031421304E-2,-2.296119726E-1,2.968638077E-1
1.696407667E0,-1.319880386E-1,-1.158953226E-1,-2.467346665E-1,3.028705397E-1
1.706462667E0,-1.428278994E-1,-1.130372036E-1,-1.867141673E-1,2.608436284E-1
1.716517667E0,-1.960246888E-1,-7.520513356E-2,-1.156114402E-1,2.396820724E-1
1.726572667E0,-1.978747478E-1,-4.697009861E-2,-1.037847157E-1,2.283240530E-1
1.736627667E0,-1.445797160E-1,-4.433241963E-2,-1.335786183E-1,2.017719133E-1
1.746682667E0,-1.067751279E-1,1.854502916E-2,-1.323031944E-1,1.710233356E-1
1.756738667E0,-8.280272235E-2,4.626141608E-2,-1.673002419E-1,1.923168749E-1
1.766793667E0,-5.005499823E-3,4.745483279E-2,-1.749875763E-1,1.813771431E-1
1.776848667E0,4.431166202E-2,6.225881338E-2,-1.699949312E-1,1.863812219E-1
1.786903667E0,3.401763886E-2,-6.179220557E-2,-1.296970904E-1,1.476374332E-1
1.796958667E0,4.539398164E-2,-1.409196514E-1,-4.322086394E-2,1.542303628E-1
1.807013667E0,2.661535621E-2,-4.565973759E-2,-5.965563297E-2,7.969933104E-2
1.817069667E0,3.165624082E-2,-4.789337397E-2,-7.124130607E-2,9.149435252E-2
1.827124667E0,9.439306408E-2,-4.272677422E-2,-5.266177833E-2,1.162277535E-1
1.837179667E0,1.828541279E-1,4.079602361E-2,-9.200593829E-2,2.087224001E-1
1.847234667E0,1.792121896E-1,-2.980793595E-2,3.524701595E-2,1.850618115E-1
1.857289667E0,1.697932023E-1,-1.270342684E-1,7.882032081E-2,2.262301480E-1
1.867344667E0,1.625792000E-1,-2.014833570E-2,9.157514468E-2,1.876804700E-1
1.877400667E0,1.555675113E-1,6.909830153E-2,1.373320922E-1,2.187142643E-1
1.887455667E0,1.060702461E-1,1.217594951E-1,9.132634565E-2,1.855175818E-1
1.897510667E0,1.574447599E-1,5.647767127E-2,7.449440449E-2,1.831065157E-1
1.907565667E0,2.425895754E-1,-1.576046813E-1,8.837803334E-2,3.024890319E-1
1.917620667E0,3.372814322E-1,-1.891796458E-1,9.918047190E-2,3.992298446E-1
1.927675667E0,2.768323320E-1,-1.113508666E-1,2.155054186E-1,3.680730104E-1
1.937731667E0,1.756249228E-1,-1.256888241E-1,2.779482731E-1,3.519901086E-1
1.947786667E0,1.693184084E-1,-1.388281024E-1,2.678111015E-1,3.459259336E-1
1.957841667E0,1.871152863E-1,-1.248368847E-1,2.138658594E-1,3.103787750E-1
1.967896667E0,2.736058384E-1,-1.343210685E-1,1.746906839E-1,3.513106023E-1
1.977951667E0,3.889743268E-1,-7.634007812E-2,1.891413465E-1,4.392075630E-1
1.988006667E0,3.456385651E-1,7.729375899E-2,2.911156181E-1,4.584633529E-1
1.998062667E0,3.276022437E-1,1.206672353E-1,3.128552735E-1,4.687880480E-1
2.008117667E0,3.568938705E-1,1.498799247E-1,2.621375482E-1,4.674968672E-1
2.018172667E0,3.057643551E-1,1.725396395E-1,2.013056016E-1,4.047044764E-1
2.028227667E0,2.764905623E-1,7.916252911E-2,1.048901318E-1,3.061301631E-1
2.038282667E0,3.067162818E-1,7.012273371E-2,-6.924565136E-3,3.147062517E-1
2.048337667E0,2.275672195E-1,1.228687119E-1,4.103605181E-2,2.618540000E-1
2.058392667E0,1.580002637E-1,1.892164832E-1,7.871857926E-2,2.587732126E-1
2.068448667E0,1.644389069E-1,1.438233787E-1,1.607048750E-1,2.712035678E-1
2.078503667E0,6.087479571E-2,4.952767074E-2,2.710678545E-1,2.821994200E-1
2.088558667E0,-4.000080228E-2,2.066172123E-2,2.930694652E-1,2.965074743E-1
2.098613667E0,-3.773498794E-2,-4.116322875E-2,2.653850918E-1,2.711965849E-1
2.108668667E0,-2.403176397E-2,-7.122317970E-2,2.141437483E-1,2.269533255E-1
2.118723667E0,-4.059486112E-2,-5.885397971E-2,1.939888345E-1,2.067447740E-1
2.128779667E0,-8.635665089E-2,-8.509335995E-2,2.076381361E-1,2.404411501E-1
2.138834667E0,-2.701983735E-1,-1.250234109E-1,2.403959924E-1,3.826594406E-1
2.148889667E0,-3.380170119E-1,-7.850647151E-2,2.457532114E-1,4.252215979E-1
2.158944667E0,-3.142293692E-1,-9.163464010E-2,1.715222239E-1,3.695360294E-1
2.168999667E0,-2.751325464E-1,-2.041262984E-2,9.628259182E-2,2.922070003E-1
2.179054667E0,-2.226710718E-1,2.230712771E-3,2.664371520E-2,2.242705283E-1
2.189109667E0,-1.780918996E-1,-6.523153782E-3,-1.793311805E-2,1.791113424E-1
2.199165667E0,-2.127342404E-1,7.124247551E-3,-3.958813503E-2,2.165036544E-1
2.209220667E0,-2.700445552E-1,1.460985303E-2,-4.021963432E-2,2.734138412E-1
2.219275667E0,-2.131286716E-1,7.601438820E-2,-7.606935203E-2,2.387227769E-1
2.229330667E0,-8.536116242E-2,1.685494995E-1,-1.688395214E-1,2.533816209E-1
2.239385667E0,3.047133911E-2,1.812139839E-1,-2.286274476E-1,2.933215305E-1
2.249440667E0,2.138239056E-1,2.632264459E-1,-2.652969450E-1,4.305708925E-1
2.259496667E0,3.110452679E-1,3.884556788E-1,-2.396884793E-1,5.523563525E-1
2.269551667E0,2.794756024E-1,3.288439000E-1,-2.068149944E-1,4.785575877E-1
2.279606667E0,2.225666990E-1,2.015617096E-1,-2.233912660E-1,3.742548811E-1
2.289661667E0,1.643172848E-1,1.451401716E-1,-2.342324424E-1,3.208281106E-1
2.299716667E0,9.545521080E-2,1.276207441E-1,-2.947791910E-1,3.351022576E-1
2.309771667E0,-3.218570620E-2,1.094557840E-1,-3.386736542E-1,3.573742190E-1
2.319827667E0,-1.604735811E-1,8.729892969E-3,-2.852969076E-1,3.274481741E-1
2.329882667E0,-1.681594537E-1,-1.059281588E-2,-2.179217805E-1,2.754627235E-1
2.339937667E0,-1.225164172E-1,4.363660097E-2,-1.778576821E-1,2.203356088E-1
2.349992667E0,-6.750851668E-2,1.631373167E-3,-1.535224476E-1,1.677176292E-1
2.360047667E0,-4.315683693E-2,-5.876451731E-2,-8.361167550E-2,1.109355369E-1
2.370102667E0,-1.568006891E-1,-5.058192372E-2,2.136338711E-2,1.661366348E-1
2.380158667E0,-1.672903747E-1,-6.830600381E-2,-4.495076269E-2,1.862051307E-1
2.390213667E0,-1.471866971E-1,-2.103196692E-1,-7.495194912E-2,2.674249086E-1
2.400268667E0,-1.557183695E-1,-2.547684485E-1,-9.223924220E-2,3.125112010E-1
2.410323667E0,-1.822480640E-1,-2.808762664E-1,-7.148864329E-2,3.423688945E-1
2.420378667E0,-2.438861589E-1,-2.865755475E-1,2.284214795E-3,3.763126633E-1
2.430433667E0,-3.668914399E-1,-2.363286692E-1,1.596266484E-1,4.646947766E-1
2.440489667E0,-4.081885698E-1,-1.324938136E-1,2.350405276E-1,4.893021243E-1
2.450544667E0,-2.915521858E-1,-1.624520230E-1,2.059965304E-1,3.922090098E-1
2.460599667E0,-2.295070150E-1,-8.945713699E-2,2.519471669E-1,3.523541177E-1
2.470654667E0,-1.105334258E-1,-5.975211203E-2,2.204961634E-1,2.537843793E-1
2.480709667E0,4.332691781E-2,-2.180075884E-2,2.158777401E-1,2.212593355E-1
2.490764667E0,2.183416106E-2,-4.966917336E-2,3.002741119E-1,3.051365263E-1
2.500819667E0,1.133327803E-1,-1.198024321E-1,2.780257487E-1,3.232572641E-1
2.510875667E0,2.257779898E-1,-4.187132657E-2,2.255993208E-1,3.219067602E-1
2.520930667E0,1.437604480E-1,7.961919665E-2,2.109643248E-1,2.674177055E-1
2.530985667E0,9.160774291E-2,1.101755762E-1,1.641494697E-1,2.178891566E-1
2.541040667E0,4.854212254E-2,1.623216301E-1,1.164180636E-1,2.055670567E-1
2.551095667E0,1.371902972E-2,1.261010528E-1,1.140031636E-1,1.705473793E-1
2.561150708E0,-2.374320388E-2,8.383153081E-2,1.866939944E-1,2.060245443E-1
2.571206708E0,-4.032802708E-2,1.131190646E-1,2.531081316E-1,2.801535272E-1
2.581261708E0,2.273426682E-2,8.976177692E-2,2.612840009E-1,2.772063358E-1
2.591316708E0,-2.645865083E-2,9.360222816E-3,2.928747529E-1,2.942164082E-1
2.601371708E0,-1.373431288E-1,-9.740291834E-2,3.048355249E-1,3.482458338E-1
2.611426708E0,-1.874596507E-1,-1.689722532E-1,2.469182691E-1,3.530741772E-1
2.621481708E0,-1.333643910E-1,-1.768519610E-1,1.772229668E-1,2.836735040E-1
2.631537708E0,-1.683611461E-1,-1.801275712E-1,1.140426323E-1,2.716562891E-1
2.641592708E0,-2.374828730E-1,-2.338447720E-1,8.070941001E-2,3.429220046E-1
2.651647708E0,-2.287091259E-1,-2.315930092E-1,4.650963038E-2,3.287952736E-1
2.661702708E0,-2.667087187E-1,-1.486941093E-1,9.839723736E-2,3.208200353E-1
2.671757708E0,-2.300712348E-1,2.734801233E-2,3.407260269E-2,2.341828967E-1
2.681812708E0,-5.761166565E-2,1.412079191E-1,-2.142215163E-2,1.540054837E-1
2.691867708E0,1.945167650E-2,1.835294813E-1,-8.797925323E-2,2.044548537E-1
2.701923708E0,1.317453700E-1,2.067031664E-1,-1.966857165E-1,3.142742633E-1
2.711978708E0,1.177009428E-1,1.838738823E-1,-2.390698439E-1,3.237553193E-1
2.722033708E0,9.980086148E-2,1.804123306E-1,-2.799138147E-1,3.476500606E-1
2.732088708E0,5.989982732E-2,1.622520483E-1,-3.080976865E-1,3.533240735E-1
2.742143708E0,1.859213579E-2,1.782839441E-1,-3.299955091E-1,3.755367735E-1
2.752198708E0,-1.065684289E-2,2.335196668E-1,-3.154906136E-1,3.926567589E-1
