"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.405676083E0,7.923825055E-2,-3.957413095E-1,-7.881116992E-1,8.854433550E-1
1.415665083E0,8.733094320E-2,-1.585729802E-1,-5.720664364E-1,6.000267422E-1
1.425654083E0,-3.125146732E-1,4.508156490E-1,5.238731003E-1,7.585138071E-1
1.435642083E0,-4.859897210E-1,2.068148482E-1,1.472720665E-1,5.483132790E-1
1.445631083E0,-4.484093736E-1,-3.798351288E-2,7.136333746E-1,8.436742896E-1
1.455620083E0,-1.376662606E-1,-4.808773541E-1,4.555033618E-1,6.765192840E-1
1.465609083E0,2.615613051E-1,9.496755302E-2,8.329709530E-2,2.904678270E-1
1.475597083E0,5.218572727E-1,6.380931956E-1,2.524956357E-1,8.621206327E-1
1.485586083E0,1.701835039E-1,2.653700352E-1,-4.056681275E-2,3.178511395E-1
1.495575083E0,3.712821141E-2,6.474446476E-2,-6.044413000E-1,6.090317192E-1
1.505563083E0,8.310048267E-2,3.066940624E-1,-7.915387523E-1,8.529364188E-1
1.515552083E0,2.263705686E-1,5.111197382E-1,-7.291688418E-1,9.187895412E-1
1.525541083E0,5.524582373E-1,1.652890921E-1,-5.687545735E-1,8.099458949E-1
1.535529083E0,1.451676828E0,-5.290139723E-1,-4.128473389E-1,1.599269934E0
1.545518083E0,1.112844276E0,-5.312633961E-1,-2.467296964E-1,1.257592430E0
1.555507083E0,9.331241092E-1,5.151063699E-1,-4.168895191E-1,1.144487679E0
1.565496083E0,1.122049986E0,8.874974084E-1,1.569603181E-1,1.439195734E0
1.575484083E0,1.067933859E0,4.880203128E-1,1.434924263E-1,1.182893329E0
1.585473083E0,1.136425804E0,1.083095543E0,2.586895913E-1,1.591062496E0
1.595462083E0,9.748650429E-1,1.174572308E0,2.666505754E-1,1.549543316E0
1.605451042E0,4.138390267E-1,1.532949325E0,1.374493289E-1,1.593765570E0
1.615439042E0,-2.132269049E-1,1.882311689E0,3.781043530E-1,1.931715794E0
1.625428042E0,3.177406222E-1,1.120921766E0,7.586072338E-1,1.390291208E0
1.635417042E0,1.687809031E-1,1.237730423E0,1.488750222E0,1.943409585E0
1.645405042E0,-3.928298347E-1,1.002078277E0,1.176893068E0,1.594852170E0
1.655394042E0,-8.515773779E-1,5.092416126E-1,7.375297755E-1,1.236309516E0
1.665383042E0,-1.302183989E0,8.879798037E-1,4.875583827E-1,1.649819520E0
1.675371042E0,-1.745655681E0,2.756938791E-1,2.106570536E-1,1.779802592E0
1.685360042E0,-1.789475593E0,-5.834755236E-1,-8.051674426E-2,1.883918663E0
1.695349042E0,-1.236524289E0,-7.898337042E-1,-1.218279076E-1,1.472301476E0
1.705338042E0,-4.255838902E-1,-6.248837507E-1,3.014216280E-1,8.139142137E-1
1.715326042E0,5.541220625E-1,-1.998882365E-1,4.281799078E-1,7.282476232E-1
1.725315042E0,1.028270733E0,8.217220795E-1,-5.001111853E-1,1.408076374E0
1.735304042E0,9.891752261E-1,1.047987691E0,-8.586741436E-1,1.677518141E0
1.745292042E0,1.001511974E0,6.885470653E-1,-1.878032112E-1,1.229794024E0
1.755281042E0,8.919578107E-1,1.112930961E0,4.330412829E-1,1.490546481E0
1.765270042E0,2.661246184E-1,1.534902295E0,8.623935574E-1,1.780581370E0
1.775259042E0,-3.504356208E-1,1.240279809E0,1.197217405E0,1.759098816E0
1.785247042E0,-4.175109319E-1,7.039451230E-1,1.316209998E0,1.549923505E0
1.795236042E0,-1.450030544E-1,9.912726223E-2,7.424396825E-1,7.629343235E-1
1.805225042E0,9.313591272E-3,-1.983644521E-1,2.709693289E-1,3.359457933E-1
1.815213042E0,-3.595423669E-2,-3.514281857E-1,-1.972207367E-1,4.045868211E-1
1.825202042E0,1.928774250E-1,-5.684300530E-1,-1.302202992E0,1.433892276E0
1.835191042E0,4.448818946E-1,6.064170742E-1,-1.323107958E0,1.521931745E0
1.845180042E0,5.484947021E-1,9.068435061E-1,-5.101602101E-1,1.176212150E0
1.855168042E0,7.996257439E-1,7.839683622E-1,-8.134412527E-2,1.122775396E0
1.865157042E0,6.850323039E-1,3.224224877E-1,2.668768626E-1,8.027756709E-1
1.875146042E0,5.872744596E-1,-2.677299714E-1,3.157858980E-1,7.185341758E-1
1.885134042E0,1.494985400E-1,7.691836774E-2,3.886702716E-1,4.234747086E-1
1.895123042E0,-3.474196270E-1,8.050557607E-1,7.416748667E-1,1.148432315E0
1.905112042E0,-2.656667814E-1,8.277435422E-1,5.704496813E-1,1.039784136E0
1.915101042E0,1.768682601E0,-2.331593029E0,-1.135107111E0,3.138954022E0
1.925089042E0,5.564109550E-1,-1.059036005E-1,-1.525065524E0,1.626847742E0
1.935078042E0,-2.191279149E-1,1.799161944E0,-1.630312482E0,2.437810397E0
1.945067042E0,-1.522731900E-1,2.389099225E0,-7.254342252E-1,2.501446991E0
1.955055042E0,3.793705675E-1,1.212078103E0,-2.777509296E-1,1.300077280E0
1.965044042E0,1.747526206E0,-2.322756717E-1,1.177308220E0,2.119871334E0
1.975033042E0,1.130559000E0,-7.774709362E-1,1.582754738E0,2.094692644E0
1.985022042E0,-1.853431414E-1,-4.843014836E-1,1.850519208E0,1.921801589E0
1.995010042E0,-6.179401821E-1,-4.878098130E-1,1.447039694E0,1.647340996E0
2.004999042E0,-1.072720390E0,2.436751109E-1,7.083819902E-1,1.308400412E0
2.014988042E0,-6.162152535E-1,1.039184415E0,5.017986917E-1,1.308215355E0
2.024976042E0,-2.717414537E-1,1.056622274E0,3.563462788E-1,1.147726761E0
2.034965042E0,-4.690060446E-1,5.612923568E-1,4.356427091E-1,8.513520715E-1
2.044954042E0,-6.657072562E-1,-6.849764630E-2,5.642902243E-1,8.753750829E-1
2.054943042E0,-7.907303748E-1,-3.505310766E-1,3.339496887E-1,9.271725599E-1
2.064931042E0,-1.121285316E0,-9.077115253E-2,-1.459172666E-1,1.134377367E0
2.074920042E0,-1.413726498E0,2.660183452E-1,-4.142910165E-1,1.497005483E0
2.084909042E0,-1.469445201E0,5.618981284E-1,-1.704048210E-1,1.582414771E0
2.094897042E0,-1.185299902E0,6.282612486E-1,2.673773843E-1,1.367895727E0
2.104886042E0,-6.261660451E-1,5.829274933E-1,3.431344950E-1,9.217535788E-1
2.114875042E0,-1.497068471E-1,6.182762508E-1,-2.768674153E-1,6.937818303E-1
2.124864042E0,-1.562712237E-2,8.282319309E-1,-7.703098512E-1,1.131189465E0
2.134852042E0,-1.179685991E-1,8.162161951E-1,-7.290495586E-1,1.100744624E0
2.144841042E0,-6.622702628E-2,5.145023525E-1,-5.853092104E-1,7.821032934E-1
2.154830042E0,2.669344577E-1,1.774201642E-1,-4.468301868E-1,5.498992046E-1
2.164818042E0,3.549238705E-1,1.651673238E-1,-3.611906970E-1,5.326442699E-1
2.174807042E0,2.690004983E-1,1.995318487E-1,-3.957845789E-1,5.184782152E-1
2.184796042E0,3.680546703E-1,1.743405819E-2,-5.482249993E-1,6.605443487E-1
2.194784042E0,3.899853835E-1,-8.897605732E-2,-7.951920927E-1,8.901324634E-1
2.204773042E0,3.004864389E-1,-5.991948858E-2,-1.071001162E0,1.113968552E0
2.214762042E0,1.383001719E-1,3.829750836E-2,-1.250071557E0,1.258281579E0
2.224751042E0,-1.787398808E-2,-1.786353618E-2,-1.363833815E0,1.364067909E0
2.234739042E0,-3.649378851E-2,-2.620641656E-1,-1.430163460E0,1.454433548E0
2.244728042E0,-1.802709011E-1,-4.613768899E-1,-1.393827692E0,1.479230161E0
2.254717042E0,-4.080678979E-1,-7.398845954E-1,-1.355811435E0,1.597552275E0
2.264705042E0,-4.577962013E-1,-9.363456327E-1,-1.415688677E0,1.757980357E0
2.274694042E0,-5.532043420E-1,-1.228854057E0,-1.598244013E0,2.090574386E0
2.284683042E0,-7.300226084E-1,-1.615381617E0,-1.865714368E0,2.573573562E0
2.294672042E0,-9.033283062E-1,-1.876679797E0,-2.201688362E0,3.030736006E0
2.304660042E0,-1.031502343E0,-2.215289425E0,-2.609552119E0,3.575089731E0
2.314649042E0,-1.430367674E0,-2.742967454E0,-2.951738781E0,4.275813837E0
2.324638042E0,-2.186322172E0,-3.313502505E0,-3.310276011E0,5.168871324E0
2.334626042E0,-2.909459611E0,-3.470566319E0,-3.601984245E0,5.786542690E0
2.344615042E0,-3.786453373E0,-3.048478625E0,-3.776682091E0,6.155792288E0
2.354604042E0,-3.625373692E0,-3.379121128E0,-3.415069225E0,6.018678578E0
2.364593042E0,-2.946509323E0,-2.966520250E0,-2.476609824E0,4.859604491E0
2.374581042E0,-2.445032082E0,-1.896823455E0,-1.582628438E0,3.475749398E0
2.384570042E0,-2.066524710E0,-1.289627970E0,-5.533015519E-1,2.497960626E0
2.394559042E0,-1.616387338E0,-8.317661342E-1,7.237613368E-1,1.956622958E0
2.404547042E0,-1.059767345E0,-1.744372802E-1,2.154960923E0,2.407777351E0
2.414536042E0,-2.840720621E-1,7.893799603E-1,3.233830099E0,3.340879340E0
2.424525042E0,1.292926092E-1,1.807758666E0,3.104960389E0,3.595203331E0
2.434513042E0,9.652320474E-2,2.851116970E0,3.167966477E0,4.263120489E0
2.444502042E0,-1.350119171E-1,3.957796965E0,2.988423627E0,4.961155189E0
2.454491042E0,-1.917217228E-1,4.565242857E0,2.875483487E0,5.398759565E0
2.464480042E0,-1.780228660E-1,4.694554616E0,3.174085003E0,5.669687010E0
2.474468042E0,-1.701677164E-1,4.351417782E0,3.042002833E0,5.312021743E0
2.484457042E0,5.251761523E-1,3.547750735E0,2.917913808E0,4.623479886E0
2.494446042E0,1.335442659E0,2.914490263E0,2.633715153E0,4.148989768E0
2.504434042E0,2.485260487E0,2.219336136E0,2.023866348E0,3.898462206E0
2.514423042E0,3.462255086E0,1.642571754E0,8.346333164E-1,3.921972084E0
